,DATE,YEAR,MONTH,MONTH_NAME,QUARTER,Disposable_Personal_Income_Nominal,Disposable_Personal_Income_Per_Capita,Real_Personal_Consumption_Expenditures,Total_Personal_Income
0,2007-01-01,2007,1,Jan,Q1,10200.4,39803,11181.0,11647.1
1,2007-02-01,2007,2,Feb,Q1,10265.8,39906,11178.2,11734.2
2,2007-03-01,2007,3,Mar,Q1,10337.0,40007,11190.7,11821.4
3,2007-04-01,2007,4,Apr,Q2,10376.5,40037,11201.5,11868.1
4,2007-05-01,2007,5,May,Q2,10412.7,40029,11218.0,11908.7
5,2007-06-01,2007,6,Jun,Q2,10429.1,39974,11218.5,11929.2
6,2007-07-01,2007,7,Jul,Q3,10456.3,39983,11252.6,11955.7
7,2007-08-01,2007,8,Aug,Q3,10467.3,39962,11300.1,11963.1
8,2007-09-01,2007,9,Sep,Q3,10524.1,39988,11309.6,12025.5
9,2007-10-01,2007,10,Oct,Q4,10547.9,39923,11318.6,12046.8
10,2007-11-01,2007,11,Nov,Q4,10594.8,39857,11342.2,12102.8
11,2007-12-01,2007,12,Dec,Q4,10663.8,39993,11335.1,12182.7
12,2008-01-01,2008,1,Jan,Q1,10705.5,40020,11333.2,12227.8
13,2008-02-01,2008,2,Feb,Q1,10731.1,40007,11293.9,12264.9
14,2008-03-01,2008,3,Mar,Q1,10765.4,39992,11322.1,12314.7
15,2008-04-01,2008,4,Apr,Q2,10745.4,39815,11340.5,12302.6
16,2008-05-01,2008,5,May,Q2,11322.5,41742,11361.6,12879.3
17,2008-06-01,2008,6,Jun,Q2,11117.6,40660,11340.7,12661.0
18,2008-07-01,2008,7,Jul,Q3,10999.7,40009,11286.0,12514.8
19,2008-08-01,2008,8,Aug,Q3,10929.5,39752,11284.7,12426.0
20,2008-09-01,2008,9,Sep,Q3,10964.1,39812,11209.7,12445.0
21,2008-10-01,2008,10,Oct,Q4,10973.7,40080,11192.5,12446.5
22,2008-11-01,2008,11,Nov,Q4,10937.5,40396,11158.2,12387.1
23,2008-12-01,2008,12,Dec,Q4,10826.1,40182,11125.8,12238.5
24,2009-01-01,2009,1,Jan,Q1,10891.5,40393,11176.3,12125.6
25,2009-02-01,2009,2,Feb,Q1,10805.4,39975,11130.5,12007.4
26,2009-03-01,2009,3,Mar,Q1,10794.3,39952,11084.6,11965.3
27,2009-04-01,2009,4,Apr,Q2,10878.0,40177,11068.0,12009.4
28,2009-05-01,2009,5,May,Q2,11048.4,40735,11078.1,12179.6
29,2009-06-01,2009,6,Jun,Q2,10912.3,39966,11081.1,12042.9
30,2009-07-01,2009,7,Jul,Q3,10864.9,39759,11118.1,11998.4
31,2009-08-01,2009,8,Aug,Q3,10875.2,39649,11218.0,12011.2
32,2009-09-01,2009,9,Sep,Q3,10924.7,39732,11114.6,12061.1
33,2009-10-01,2009,10,Oct,Q4,10932.5,39579,11127.1,12069.4
34,2009-11-01,2009,11,Nov,Q4,10987.9,39652,11109.4,12129.6
35,2009-12-01,2009,12,Dec,Q4,11044.5,39807,11177.3,12188.2
36,2010-01-01,2010,1,Jan,Q1,11073.7,39798,11156.8,12267.7
37,2010-02-01,2010,2,Feb,Q1,11079.0,39792,11198.6,12267.6
38,2010-03-01,2010,3,Mar,Q1,11138.2,39924,11252.1,12330.9
39,2010-04-01,2010,4,Apr,Q2,11240.7,40244,11275.1,12441.8
40,2010-05-01,2010,5,May,Q2,11328.4,40520,11303.2,12543.7
41,2010-06-01,2010,6,Jun,Q2,11327.3,40506,11330.6,12550.7
42,2010-07-01,2010,7,Jul,Q3,11345.9,40509,11361.7,12588.7
43,2010-08-01,2010,8,Aug,Q3,11395.1,40598,11389.2,12652.9
44,2010-09-01,2010,9,Sep,Q3,11405.0,40562,11399.9,12673.4
45,2010-10-01,2010,10,Oct,Q4,11443.8,40541,11428.9,12723.6
